no 0: pai = -1, altura = 5, grau = 2, filhos = (1,13), tipo = raiz
no 1: pai = 0, altura = 4, grau = 2, filhos = (2,7), tipo = interno
no 2: pai = 1, altura = 3, grau = 2, filhos = (3,6), tipo = interno
no 3: pai = 2, altura = 2, grau = 2, filhos = (4,5), tipo = interno
no 4: pai = 3, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 5: pai = 3, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 6: pai = 2, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 7: pai = 1, altura = 3, grau = 2, filhos = (8,10), tipo = interno
no 8: pai = 7, altura = 2, grau = 1, filhos = (9,-1), tipo = interno
no 9: pai = 8, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 10: pai = 7, altura = 2, grau = 2, filhos = (11,12), tipo = interno
no 11: pai = 10, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 12: pai = 10, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 13: pai = 0, altura = 4, grau = 2, filhos = (14,19), tipo = interno
no 14: pai = 13, altura = 3, grau = 2, filhos = (15,16), tipo = interno
no 15: pai = 14, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 16: pai = 14, altura = 2, grau = 2, filhos = (17,18), tipo = interno
no 17: pai = 16, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 18: pai = 16, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 19: pai = 13, altura = 3, grau = 2, filhos = (20,22), tipo = interno
no 20: pai = 19, altura = 2, grau = 1, filhos = (-1,21), tipo = interno
no 21: pai = 20, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 22: pai = 19, altura = 2, grau = 2, filhos = (23,24), tipo = interno
no 23: pai = 22, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
no 24: pai = 22, altura = 1, grau = 0, filhos = (-1,-1), tipo = folha
